year,month,country,total,bev,phev,hev,other,petrol,diesel
2025,4,Norway,11286,10942,56,98,0,25,165
2025,4,Poland,46978,2553,2661,23299,1250,13794,3421
2025,4,Portugal,18752,3722,2636,4780,1621,4841,1152
2025,4,Romania,9996,218,0,5227,1098,2403,1050
2025,4,Slovakia,8322,320,337,2617,132,3813,1103
2025,4,Slovenia,5192,400,179,651,49,2988,925
2025,4,Spain,98549,6807,9159,40741,4283,31978,5581
2025,4,Sweden,24292,8555,6829,2097,4,5073,1734
2025,4,Switzerland,18664,3480,1975,6841,1,5027,1340
2025,4,United Kingdom,120331,24557,14074,44488,0,33980,3232
2026,1,Austria,22929,4702,2738,6496,0,6718,2275
2026,1,Belgium,32997,12131,2068,3809,100,14105,784
2026,1,Bulgaria,3218,182,45,204,6,2378,403
2026,1,Croatia,3964,138,278,1531,51,1461,505
2026,1,Cyprus,1293,203,55,633,0,376,26
2026,1,Czechia,18043,940,850,4482,231,7754,3786
2026,1,Denmark,12802,10618,142,1264,0,547,231
2026,1,Estonia,1359,76,155,656,0,286,186
2026,1,Finland,5462,2505,789,1488,0,503,177
2026,1,France,107157,30307,4821,51523,2659,15326,2521
2026,1,Germany,193981,42692,21790,58206,289,43695,27309
2026,1,Greece,10087,633,691,6397,214,1933,219
2026,1,Hungary,8287,780,638,4496,22,1682,669
2026,1,Iceland,1385,181,630,412,0,68,94
2026,1,Ireland,34542,7305,5183,10514,0,7236,4304
2026,1,Italy,141993,9423,11638,74422,9143,26641,10726
2026,1,Latvia,1510,99,163,0,16,1007,225
2026,1,Lithuania,2833,266,403,1248,29,559,328
2026,1,Luxembourg,3339,975,201,1076,0,720,367
2026,1,Malta,559,141,39,145,0,212,21
2026,1,Netherlands,28347,7165,8025,9546,14,3348,249
2026,1,Norway,2218,2084,17,12,0,7,98
2026,1,Poland,40281,3544,2830,18657,1047,11771,2432
2026,1,Portugal,16839,4341,2409,5924,793,2651,721
2026,1,Romania,7927,974,0,4642,489,1280,542
2026,1,Slovakia,5591,340,205,2348,30,2018,650
2026,1,Slovenia,5141,568,263,925,56,2556,773
2026,1,Spain,73103,6472,8740,35597,2462,16533,3299
2026,1,Sweden,16041,6710,3582,2135,99,2693,822
2026,1,Switzerland,14027,2913,1709,5557,0,2975,873
2026,1,United Kingdom,144127,29654,18557,55653,2,37109,3152
2026,2,Austria,21288,4439,2151,6665,0,5530,2503
2026,2,Belgium,37075,11677,1965,5058,113,17528,734
2026,2,Bulgaria,3766,215,61,209,2,2926,353
2026,2,Croatia,4867,197,336,1757,88,1743,746
2026,2,Cyprus,1145,109,57,600,0,325,54
2026,2,Czechia,18591,958,937,4136,373,8543,3644
2026,2,Denmark,11933,9736,122,1165,2,535,373
2026,2,Estonia,1138,65,87,598,0,242,146
2026,2,Finland,4949,2189,796,1327,0,403,234
2026,2,France,120764,32370,6655,57670,2765,18206,3098
2026,2,Germany,211262,46275,24328,60510,407,48404,31338
2026,2,Greece,10015,646,844,5396,301,2448,380
2026,2,Hungary,10729,856,757,5652,14,2244,1206
2026,2,Iceland,815,323,167,284,0,36,5
2026,2,Ireland,14963,2858,2243,4034,0,3579,2249
2026,2,Italy,157248,12541,12541,81799,7855,31915,10597
2026,2,Latvia,1443,91,136,0,40,1003,173
2026,2,Lithuania,2593,214,305,1381,20,432,241
2026,2,Luxembourg,4400,1022,272,1564,0,1067,475
2026,2,Malta,521,112,15,178,0,194,22
2026,2,Netherlands,22380,6805,5537,7522,24,2111,381
2026,2,Norway,7272,7127,46,20,0,12,67
2026,2,Poland,47462,1891,3617,23705,1709,13403,3137
2026,2,Portugal,20541,4732,2559,7054,628,4663,905
2026,2,Romania,8965,934,0,5085,679,1495,772
2026,2,Slovakia,6151,242,238,2232,105,2535,799
2026,2,Slovenia,4825,567,209,774,46,2550,679
2026,2,Spain,97082,8889,12092,46592,3048,22534,3927
2026,2,Sweden,19341,7650,4912,2128,99,3352,1200
2026,2,Switzerland,15697,3113,1829,6009,1,3812,933
2026,2,United Kingdom,90100,21840,10438,34758,0,20984,2080
2026,3,Austria,33018,8206,3165,10513,0,8181,2953
2026,3,Belgium,43733,15661,2417,5221,423,18908,1103
2026,3,Bulgaria,4481,349,82,231,0,3310,509
2026,3,Croatia,8064,445,480,3001,69,3144,925
2026,3,Cyprus,1232,113,79,622,0,400,18
2026,3,Czechia,23916,1541,996,5939,534,10700,4206
2026,3,Denmark,18968,14616,147,2700,0,1170,335
2026,3,Estonia,1753,119,161,1032,0,289,152
2026,3,Finland,6791,3369,897,1807,0,513,205
2026,3,France,173634,49406,8108,80708,6057,24908,4447
2026,3,Germany,294161,70663,29996,87850,1029,66959,37664
2026,3,Greece,14710,1015,780,8145,299,4175,296
2026,3,Hungary,17443,1557,1022,10145,51,3274,1394
2026,3,Iceland,1283,618,272,317,0,30,46
2026,3,Ireland,15413,3829,2264,4510,0,2973,1837
2026,3,Italy,185257,16121,15805,93241,9890,37456,12744
2026,3,Latvia,2040,133,188,0,74,1417,228
2026,3,Lithuania,4145,278,454,2281,73,645,414
2026,3,Luxembourg,4799,1384,234,1578,0,1194,409
2026,3,Malta,580,133,22,191,0,212,23
2026,3,Netherlands,31467,11114,7516,9918,133,2403,383
2026,3,Norway,17685,17406,126,5,0,22,126
2026,3,Poland,63896,3406,5126,33077,1459,17194,3634
2026,3,Portugal,26679,6063,3616,7786,1661,6488,1065
2026,3,Romania,10383,679,0,6013,862,2118,711
2026,3,Slovakia,8300,432,269,2971,120,3578,930
2026,3,Slovenia,6535,1162,262,967,52,3294,798
2026,3,Spain,130340,11863,14862,61938,4241,32727,4709
2026,3,Sweden,26578,10875,6466,2450,153,4987,1647
2026,3,Switzerland,23258,5388,2894,8884,0,4894,1198
2026,3,United Kingdom,380627,86120,49671,153785,0,85137,5914
2026,4,Austria,27509,7122,2997,8366,1,6368,2655
2026,4,Belgium,37802,13971,1830,4506,371,15888,1236
2026,4,Bulgaria,4742,456,83,284,4,3356,559
2026,4,Croatia,8658,330,486,3828,55,2943,1016
2026,4,Cyprus,1185,181,53,536,0,400,15
2026,4,Czechia,22397,1684,1090,5166,399,10170,3888
2026,4,Denmark,16754,13721,113,1655,0,914,351
2026,4,Estonia,1914,115,154,1238,0,185,222
2026,4,Finland,5705,2783,638,1609,0,478,197
2026,4,France,138339,36216,8333,63007,4986,21963,3834
2026,4,Germany,249163,64350,27546,70207,1203,53420,32437
2026,4,Greece,14275,695,863,8194,195,3803,525
2026,4,Hungary,11832,1420,1083,5531,76,2453,1269
2026,4,Iceland,1033,460,159,229,0,54,131
2026,4,Ireland,10090,2740,1480,2376,0,2159,1335
2026,4,Italy,155145,13199,13943,75775,9379,31729,11120
2026,4,Latvia,1909,123,191,0,36,1315,244
2026,4,Lithuania,4692,331,569,2441,115,576,660
2026,4,Luxembourg,4922,1533,272,1557,0,1165,395
2026,4,Malta,592,138,19,211,0,198,27
2026,4,Netherlands,25704,9616,6143,7419,130,1928,468
2026,4,Norway,11103,10952,25,8,0,31,87
2026,4,Poland,51824,2651,5052,26119,1222,13819,2961
2026,4,Portugal,21592,5010,3234,5731,1618,5248,751
2026,4,Romania,10205,641,0,6227,719,2037,581
2026,4,Slovakia,6957,496,310,2362,141,2940,708
2026,4,Slovenia,7398,1038,238,2353,56,2924,789
2026,4,Spain,106862,9723,13035,50237,4276,25618,3973
2026,4,Sweden,24147,9834,5810,2121,128,4488,1766
2026,4,Switzerland,18618,4683,2299,6611,1,4040,984
2026,4,United Kingdom,149247,39084,20597,53652,0,33292,2622
