brand,model,total
FORD,FORD PUMA,160099
KIA,KIA SPORTAGE,138836
NISSAN,NISSAN QASHQAI,130022
TOYOTA,TOYOTA YARIS,119859
VOLKSWAGEN,VOLKSWAGEN GOLF,104748
VAUXHALL,VAUXHALL CORSA,101228
NISSAN,NISSAN JUKE,95466
VOLKSWAGEN,VOLKSWAGEN TIGUAN,94204
MG,MG HS,92983
VOLVO,VOLVO XC40,90703
VOLKSWAGEN,VOLKSWAGEN POLO,89040
TESLA,TESLA MODEL Y,88893
HYUNDAI,HYUNDAI TUCSON,88124
MINI,MINI COOPER,88038
FORD,FORD KUGA,79724
AUDI,AUDI A3,74465
MG,MG ZS,73738
VOLKSWAGEN,VOLKSWAGEN T-ROC,73273
BMW,BMW 1 SERIES,72060
PEUGEOT,PEUGEOT 2008,69235
VAUXHALL,VAUXHALL MOKKA,64543
HYUNDAI,HYUNDAI KONA,58350
TESLA,TESLA MODEL 3,58018
BYD,BYD SEAL,54147
PEUGEOT,PEUGEOT 208,52038
JAECOO,JAECOO 7,50075
PEUGEOT,PEUGEOT 3008,49096
AUDI,AUDI Q4,48600
MERCEDES,MERCEDES A CLASS,47306
TOYOTA,TOYOTA AYGO,47191
RENAULT,RENAULT CLIO,45827
KIA,KIA NIRO,45682
FORD,FORD FOCUS,45668
TOYOTA,TOYOTA C-HR,44519
TOYOTA,TOYOTA COROLLA,44148
AUDI,AUDI A1,43635
MINI,MINI COUNTRYMAN,43282
VAUXHALL,VAUXHALL GRANDLAND,40553
CITROEN,CITROEN C3,40356
CUPRA,CUPRA FORMENTOR,40108
BMW,BMW 3 SERIES,39986
LAND ROVER,LAND ROVER DEFENDER,39789
LAND ROVER,LAND ROVER RANGE ROVER EVOQUE,39736
RENAULT,RENAULT CAPTUR,39163
MG,MG 4,38807
VOLVO,VOLVO XC60,37869
LAND ROVER,LAND ROVER RANGE ROVER SPORT,37542
KIA,KIA PICANTO,37448
SKODA,SKODA KODIAQ,37289
SKODA,SKODA ENYAQ,36550
SKODA,SKODA KAROQ,36343
MERCEDES,MERCEDES CLA CLASS,35575
BMW,BMW 2 SERIES,35371
HYUNDAI,HYUNDAI I10,35112
AUDI,AUDI Q3,34521
BMW,BMW I4,34194
SKODA,SKODA KAMIQ,33058
AUDI,AUDI Q2,32356
MG,MG 3,31690
SEAT,SEAT IBIZA,31529
SUZUKI,SUZUKI SWIFT,31387
LAND ROVER,LAND ROVER DISCOVERY,31018
SKODA,SKODA FABIA,30412
HYUNDAI,HYUNDAI I20,29832
VOLKSWAGEN,VOLKSWAGEN ID4,28712
SKODA,SKODA OCTAVIA,28424
NISSAN,NISSAN X-TRAIL,28231
BMW,BMW X1,28089
MERCEDES,MERCEDES GLA CLASS,27629
DACIA,DACIA SANDERO,27294
DACIA,DACIA DUSTER,26763
PEUGEOT,PEUGEOT 5008,26263
VOLKSWAGEN,VOLKSWAGEN T-CROSS,25293
VOLKSWAGEN,VOLKSWAGEN ID3,25269
HONDA,HONDA JAZZ,25257
MERCEDES,MERCEDES GLC CLASS,25174
VOLVO,VOLVO XC90,24971
TOYOTA,TOYOTA PRIUS,24862
CUPRA,CUPRA BORN,24703
VOLVO,VOLVO EX30,24682
KIA,KIA STONIC,24273
AUDI,AUDI Q5,23986
SEAT,SEAT ARONA,23717
CHERY,CHERY TIGGO,23495
BMW,BMW X3,23491
FIAT,FIAT 500,23360
MAZDA,MAZDA CX-30,23029
MERCEDES,MERCEDES EQA CLASS,23008
PORSCHE,PORSCHE MACAN,22980
FORD,FORD EXPLORER,22342
VOLKSWAGEN,VOLKSWAGEN TAIGO,22290
DACIA,DACIA JOGGER,21947
JEEP,JEEP AVENGER,21591
HONDA,HONDA HR-V,21578
HYUNDAI,HYUNDAI IONIQ,21472
MAZDA,MAZDA CX-5,21182
BMW,BMW X5,20945
VAUXHALL,VAUXHALL ASTRA,20756
POLESTAR,POLESTAR 2,20363
BMW,BMW IX1,19958
LAND ROVER,LAND ROVER RANGE ROVER,19736
AUDI,AUDI Q6,19571
RENAULT,RENAULT SYMBIOZ,19533
FORD,FORD TOURNEO,19411
SEAT,SEAT ATECA,19206
AUDI,AUDI A5,19079
RENAULT,RENAULT AUSTRAL,18669
KIA,KIA EV3,18362
VAUXHALL,VAUXHALL FRONTERA,18359
SKODA,SKODA ELROQ,17580
MERCEDES,MERCEDES EQB CLASS,17083
MAZDA,MAZDA 2,16940
POLESTAR,POLESTAR 4,16773
OMODA,OMODA 5 NOBLE AUTO,16464
CUPRA,CUPRA LEON,16172
MERCEDES,MERCEDES AMG CLASS,16115
RENAULT,RENAULT 5,16088
TOYOTA,TOYOTA RAV4,15978
HYUNDAI,HYUNDAI BAYON,15966
LEXUS,LEXUS LBX,15907
BYD,BYD SEALION,15582
BYD,BYD DOLPHIN,15558
KIA,KIA CEED,15066
KIA,KIA XCEED,14945
LAND ROVER,LAND ROVER RANGE ROVER VELAR,14776
LEXUS,LEXUS NX,14237
RENAULT,RENAULT SCENIC,13879
MERCEDES,MERCEDES C CLASS,13789
AUDI,AUDI A4,13681
AUDI,AUDI A6,13676
BMW,BMW IX,13612
SKODA,SKODA SUPERB,13611
CUPRA,CUPRA TERRAMAR,13500
VOLKSWAGEN,VOLKSWAGEN ID7,13237
TOYOTA,TOYOTA MODEL MISSING,12926
TOYOTA,TOYOTA BZ4X,12894
FORD,FORD FIESTA,12817
SUZUKI,SUZUKI VITARA,12807
KIA,KIA EV6,12111
JAGUAR,JAGUAR F-PACE,12092
NISSAN,NISSAN ARIYA,11907
MERCEDES-BENZ,MERCEDES-BENZ CLA CLASS,11886
JAECOO,JAECOO 5,11860
SKODA,SKODA SCALA,11846
BMW,BMW 5 SERIES,11629
CITROEN,CITROEN C5,11369
BYD,BYD ATTO 3,11119
CITROEN,CITROEN C4,11070
PORSCHE,PORSCHE 911,10948
MERCEDES,MERCEDES GLB CLASS,10723
BMW,BMW I5,10678
PORSCHE,PORSCHE CAYENNE,10640
PEUGEOT,PEUGEOT 308,10580
HYUNDAI,HYUNDAI SANTA FE,10420
BMW,BMW IX2,10379
HONDA,HONDA CR-V,10327
MAZDA,MAZDA 3,10147
PORSCHE,PORSCHE TAYCAN,10007
MINI,MINI ACEMAN,9886
RENAULT,RENAULT MEGANE,9792
VAUXHALL,VAUXHALL CROSSLAND,9647
OMODA,OMODA E5 COMFORT,9537
BMW,BMW IX3,9437
AUDI,AUDI Q8,9408
PEUGEOT,PEUGEOT RIFTER,9397
BMW,BMW 4 SERIES,9228
MG,MG S5,9146
FIAT,FIAT 600,9034
CUPRA,CUPRA TAVASCAN,9021
NISSAN,NISSAN LEAF,8957
FORD,FORD MUSTANG,8914
VOLKSWAGEN,VOLKSWAGEN ID BUZZ,8807
RENAULT,RENAULT ARKANA,8777
VOLKSWAGEN,VOLKSWAGEN ID5,8713
VOLKSWAGEN,VOLKSWAGEN TAYRON,8563
MAZDA,MAZDA CX-60,8374
LEXUS,LEXUS UX,8299
SUZUKI,SUZUKI S-CROSS,8282
AUDI,AUDI Q7,8051
SEAT,SEAT LEON,8043
DACIA,DACIA SPRING,7934
FORD,FORD CAPRI,7751
HONDA,HONDA ZR-V SPORT,7669
SUZUKI,SUZUKI SX,7602
MERCEDES,MERCEDES GLE CLASS,7545
HONDA,HONDA CIVIC,7533
BMW,BMW X2,7460
HONDA,HONDA E,7365
VOLVO,VOLVO EX40,6783
KIA,KIA SORENTO,6776
RENAULT,RENAULT TRAFIC,6627
CITROEN,CITROEN E-C3,6530
VOLKSWAGEN,VOLKSWAGEN PASSAT,6519
JAGUAR,JAGUAR I-PACE,6226
PEUGEOT,PEUGEOT 408,6167
AUDI,AUDI S3,6127
VOLKSWAGEN,VOLKSWAGEN TOUAREG,6120
HYUNDAI,HYUNDAI INSTER,6107
LEAPMOTOR,LEAPMOTOR C10,6078
MERCEDES,MERCEDES EQC CLASS,6055
KIA,KIA EV9,5998
VOLKSWAGEN,VOLKSWAGEN MULTIVAN,5955
MINI,MINI JOHN COOPER WORKS,5767
OMODA,OMODA 5 KNIGHT AUTO,5695
DACIA,DACIA BIGSTER,5668
MERCEDES,MERCEDES E CLASS,5654
NISSAN,NISSAN MODEL MISSING,5392
OMODA,OMODA 9 NOBLE PHEV AUTO,5161
VOLKSWAGEN,VOLKSWAGEN CADDY,5061
KIA,KIA EV4,4959
VAUXHALL,VAUXHALL COMBO,4918
LEXUS,LEXUS RZ,4853
KIA,KIA EV5,4833
LEXUS,LEXUS RX,4808
CUPRA,CUPRA ATECA,4736
BMW,BMW M3,4594
HONDA,HONDA MODEL MISSING,4494
MAZDA,MAZDA MX-5,4412
MERCEDES-BENZ,MERCEDES-BENZ EQE CLASS,4333
SUZUKI,SUZUKI IGNIS,4231
SHINERAY,SHINERAY STARRAY,4213
JEEP,JEEP COMPASS,4195
KIA,KIA PROCEED,4165
BMW,BMW X7,4150
AUDI,AUDI MODEL MISSING,4101
PORSCHE,PORSCHE 718,4101
CITROEN,CITROEN SPACETOURER,4018
JAGUAR,JAGUAR E-PACE,3974
TOYOTA,TOYOTA ESTIMA,3892
VOLKSWAGEN,VOLKSWAGEN UP,3732
VOLKSWAGEN,VOLKSWAGEN MODEL MISSING,3722
MAZDA,MAZDA MX-30,3692
BMW,BMW M2,3656
VOLVO,VOLVO V60,3647
SMART,SMART 1,3507
HYUNDAI,HYUNDAI MODEL MISSING,3432
VOLVO,VOLVO C40,3387
MERCEDES,MERCEDES CLE CLASS,3365
AUDI,AUDI RS3,3342
POLESTAR,POLESTAR 3,3280
MERCEDES,MERCEDES EQE CLASS,3260
ALPINE,ALPINE A290,3251
ALFA ROMEO,ALFA ROMEO JUNIOR,3176
CITROEN,CITROEN BERLINGO,3168
LEAPMOTOR,LEAPMOTOR B10,3101
RENAULT,RENAULT 4,3100
AUDI,AUDI E-TRON,3032
MERCEDES,MERCEDES VITO,2960
MERCEDES,MERCEDES MODEL MISSING,2921
LOTUS,LOTUS ELETRE,2908
MERCEDES-BENZ,MERCEDES-BENZ E CLASS,2775
CITROEN,CITROEN E-BERLINGO,2760
SHINERAY,SHINERAY EX5,2732
SUZUKI,SUZUKI E VITARA,2700
SEAT,SEAT TARRACO,2691
VOLKSWAGEN,VOLKSWAGEN TOURAN,2657
ALFA ROMEO,ALFA ROMEO TONALE,2641
MERCEDES,MERCEDES V CLASS,2581
BMW,BMW MODEL MISSING,2565
RENAULT,RENAULT RAFALE,2561
OMODA,OMODA 7,2558
MG,MG 5,2557
MERCEDES-BENZ,MERCEDES-BENZ EQA CLASS,2523
LAND ROVER,LAND ROVER MODEL MISSING,2509
CITROEN,CITROEN E-C4,2497
MINI,MINI CLUBMAN,2326
SUBARU,SUBARU FORESTER,2311
MERCEDES-BENZ,MERCEDES-BENZ EQB CLASS,2296
TOYOTA,TOYOTA LAND CRUISER,2281
BYD,BYD ATTO 2,2278
MG,MG IM5,2246
MERCEDES-BENZ,MERCEDES-BENZ V CLASS,2222
SUBARU,SUBARU OUTBACK,2190
TOYOTA,TOYOTA NOAH,2175
BMW,BMW M4,2173
FORD,FORD TRANSIT CUSTOM,2107
BMW,BMW X4,2096
BMW,BMW I7,2093
NISSAN,NISSAN MICRA,2076
TOYOTA,TOYOTA VELLFIRE,1950
CHANGAN,CHANGAN DEEPAL,1925
HYUNDAI,HYUNDAI I30,1919
VOLVO,VOLVO MODEL MISSING,1915
LEXUS,LEXUS ES,1915
PORSCHE,PORSCHE PANAMERA,1901
LEAPMOTOR,LEAPMOTOR T03,1873
MERCEDES,MERCEDES B CLASS,1815
BMW,BMW M5,1768
GENESIS,GENESIS GV60,1760
VOLKSWAGEN,VOLKSWAGEN ARTEON,1755
TOYOTA,TOYOTA PROACE,1718
VAUXHALL,VAUXHALL VIVARO,1659
SUZUKI,SUZUKI SWACE,1618
SUBARU,SUBARU CROSSTREK,1589
OTHER BRITISH,OTHER BRITISH MODEL MISSING,1554
BMW,BMW XM,1549
VOLVO,VOLVO V90,1545
MG,MG S6,1522
TOYOTA,TOYOTA URBAN CRUISER,1516
KGM,KGM TIVOLI,1510
SUZUKI,SUZUKI MODEL MISSING,1508
BMW,BMW X6,1501
AUDI,AUDI SQ5,1493
MAZDA,MAZDA CX-80,1490
GENESIS,GENESIS GV70,1482
BMW,BMW 7 SERIES,1476
NISSAN,NISSAN ELGRAND,1473
VOLVO,VOLVO EX90,1422
LAMBORGHINI,LAMBORGHINI URUS,1403
MERCEDES-BENZ,MERCEDES-BENZ GLE CLASS,1398
MG,MG S9,1389
FORD,FORD MODEL MISSING,1366
BENTLEY,BENTLEY CONTINENTAL,1365
DS,DS DS7,1345
JAGUAR,JAGUAR XE SERIES,1343
XPENG,XPENG G6 LONG RANGE,1340
AUDI,AUDI S5,1334
MG,MG IM6,1332
MERCEDES,MERCEDES EQS CLASS,1321
HONDA,HONDA FIT,1319
JAGUAR,JAGUAR XF SERIES,1312
MERCEDES,MERCEDES S CLASS,1296
OMODA,OMODA 5,1286
INEOS,INEOS GRENADIER,1272
BENTLEY,BENTLEY BENTAYGA,1272
MERCEDES-BENZ,MERCEDES-BENZ GLB CLASS,1261
TOYOTA,TOYOTA ALPHARD,1257
OMODA,OMODA 5 COMFORT AUTO,1249
VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,1212
FIAT,FIAT GRANDE PANDA,1197
PEUGEOT,PEUGEOT TRAVELLER,1196
HONDA,HONDA STEPWAGON,1188
SUZUKI,SUZUKI JIMNY,1179
SMART,SMART 3,1149
TOYOTA,TOYOTA GR86,1137
AUDI,AUDI RS6,1097
MASERATI,MASERATI GRECALE,1070
BMW,BMW 8 SERIES,1065
AUDI,AUDI SQ6,1045
JAGUAR,JAGUAR F-TYPE,1030
AUDI,AUDI SQ7,1027
MERCEDES-BENZ,MERCEDES-BENZ G CLASS,1014
MERCEDES-BENZ,MERCEDES-BENZ CLE CLASS,1007
BMW,BMW Z4,980
KIA,KIA K4,979
ASTON MARTIN,ASTON MARTIN DBX,971
DS,DS DS4,948
AUDI,AUDI TT,947
ASTON MARTIN,ASTON MARTIN DB12,939
BENTLEY,BENTLEY MODEL MISSING,915
KIA,KIA PV5,907
JEEP,JEEP WRANGLER,905
AUDI,AUDI RSQ8,880
RENAULT,RENAULT MODEL MISSING,877
ORA,ORA 03 PURE +,870
MERCEDES,MERCEDES GLS CLASS,859
FIAT,FIAT PANDA,855
MERCEDES-BENZ,MERCEDES-BENZ AMG G CLASS,848
ALFA ROMEO,ALFA ROMEO GIULIA,842
VOLVO,VOLVO EC40,835
ALPINE,ALPINE A110,816
AUDI,AUDI TTS,804
ASTON MARTIN,ASTON MARTIN VANTAGE,797
BMW,BMW Z4 M,791
AUDI,AUDI A7,782
ABARTH,ABARTH 500,760
SUBARU,SUBARU SOLTERRA,759
ABARTH,ABARTH 695,756
MERCEDES-BENZ,MERCEDES-BENZ C CLASS,754
KGM,KGM TORRES K40,752
PEUGEOT,PEUGEOT BOXER,744
TOYOTA,TOYOTA AQUA,739
MG,MG CYBERSTER,723
KIA,KIA EV2,708
TOYOTA,TOYOTA VITZ,705
FERRARI,FERRARI 296,703
ORA,ORA FUNKY CAT,689
MITSUBISHI,MITSUBISHI MODEL MISSING,688
AUDI,AUDI RS4,679
SUBARU,SUBARU MODEL MISSING,677
RENAULT TRUCKS,RENAULT TRUCKS TRAFIC,671
AUDI,AUDI SQ2,667
DS,DS DS3,654
KGM,KGM REXTON,652
AUDI,AUDI SQ8,651
TOYOTA,TOYOTA GR YARIS,645
JAGUAR,JAGUAR MODEL MISSING,644
LOTUS,LOTUS EMIRA V6,636
SUZUKI,SUZUKI ACROSS,634
PEUGEOT,PEUGEOT 508,613
ROLLS ROYCE,ROLLS ROYCE CULLINAN,602
CITROEN,CITROEN MODEL MISSING,595
MERCEDES-BENZ,MERCEDES-BENZ AMG GLC CLASS,584
MERCEDES,MERCEDES SPRINTER,580
JEEP,JEEP RENEGADE,573
VOLKSWAGEN,VOLKSWAGEN BEETLE,572
MAZDA,MAZDA MODEL MISSING,571
MERCEDES-BENZ,MERCEDES-BENZ MODEL MISSING,565
JAECOO,JAECOO 8,547
AUDI,AUDI A8,545
AUDI,AUDI S6,540
PEUGEOT,PEUGEOT MODEL MISSING,536
LOTUS,LOTUS EMIRA,530
CITROEN,CITROEN E-C5,523
VOLKSWAGEN,VOLKSWAGEN CRAFTER,523
VOLVO,VOLVO S60,519
MERCEDES-BENZ,MERCEDES-BENZ S CLASS,514
FERRARI,FERRARI PUROSANGUE,510
RENAULT,RENAULT MASTER,508
LOTUS,LOTUS EMEYA,504
ALFA ROMEO,ALFA ROMEO STELVIO,504
KGM,KGM KORANDO,502
VOLVO,VOLVO V40,500
SMART,SMART 5,487
VOLVO,VOLVO V70,483
BENTLEY,BENTLEY FLYING SPUR,478
KGM,KGM ACTYON K50 AUTO,461
LEXUS,LEXUS MODEL MISSING,456
BMW,BMW X5 M,451
MERCEDES-BENZ,MERCEDES-BENZ A CLASS,445
RENAULT,RENAULT ZOE,442
FERRARI,FERRARI ROMA,427
KIA,KIA SOUL,417
HYUNDAI,HYUNDAI PONY,403
SUBARU,SUBARU IMPREZA,399
FORD,FORD ESCORT,398
SKODA,SKODA MODEL MISSING,396
MERCEDES-BENZ,MERCEDES-BENZ AMG C CLASS,395
KIA,KIA MODEL MISSING,383
KIA,KIA RIO,374
FORD,FORD GALAXY,365
DODGE,DODGE MODEL MISSING,364
ABARTH,ABARTH 600E,362
SMART,SMART FORTWO,359
ROLLS ROYCE,ROLLS ROYCE,354
CATERHAM,CATERHAM MODEL MISSING,348
LAMBORGHINI,LAMBORGHINI HURACAN,346
VOLKSWAGEN,VOLKSWAGEN CALIFORNIA,345
JEEP,JEEP MODEL MISSING,341
AUDI,AUDI RS5,341
VAUXHALL,VAUXHALL ALLIED VENTURE,335
VAUXHALL,VAUXHALL MOVANO,331
CITROEN,CITROEN ALLIED,327
BMW,BMW X3 M,326
ABARTH,ABARTH 595,325
FISKER,FISKER OCEAN,324
SSANGYONG,SSANGYONG KORANDO,322
GWM,GWM GWM HAVAL JOLION PRO A,322
HONDA,HONDA PRELUDE,316
AUDI,AUDI S4,310
OMODA,OMODA E5 KNIGHT,300
PORSCHE,PORSCHE MODEL MISSING,298
PEUGEOT,PEUGEOT ALLIED,293
BMW,BMW M8,284
HONDA,HONDA ODYSSEY,279
FERRARI,FERRARI 12CILINDRI,274
FORD,FORD TRANSIT,272
ORA,ORA 03 PRO +,269
SSANGYONG,SSANGYONG TIVOLI,267
MERCEDES-BENZ,MERCEDES-BENZ AMG GT CLASS,265
ASTON MARTIN,ASTON MARTIN MODEL MISSING,263
NISSAN,NISSAN SERENA,260
CHEVROLET,CHEVROLET MODEL MISSING,254
FORD,FORD S-MAX,248
MERCEDES-BENZ,MERCEDES-BENZ AMG GLE CLASS,247
LAMBORGHINI,LAMBORGHINI REVUELTO,246
MCLAREN,MCLAREN 750S,244
AUDI,AUDI RSQ3,243
SUBARU,SUBARU XV,241
MCLAREN,MCLAREN ARTURA,241
JEEP,JEEP GRAND CHEROKEE,240
MERCEDES,MERCEDES G CLASS,234
HONDA,HONDA ACCORD,232
SSANGYONG,SSANGYONG REXTON,223
CHEVROLET,CHEVROLET CORVETTE,219
GWM,GWM ORA 03 PRO,218
SUBARU,SUBARU LEGACY,215
MORGAN,MORGAN PLUS FOUR,212
VOLKSWAGEN,VOLKSWAGEN SHARAN,211
LEXUS,LEXUS LM,211
BMW,BMW X4 M,210
NISSAN,NISSAN NOTE,206
XPENG,XPENG G6 STANDARD RANGE,196
TOYOTA,TOYOTA HIGHLANDER,194
FORD,FORD ALLIED,191
TOYOTA,TOYOTA SIENTA,191
FERRARI,FERRARI SF90,185
MERCEDES-BENZ,MERCEDES-BENZ AMG E CLASS,185
MERCEDES,MERCEDES 200,178
ROLLS ROYCE,ROLLS ROYCE GHOST,174
MINI,MINI MODEL MISSING,173
VOLVO,VOLVO ES90,173
FIAT,FIAT TIPO,172
AUDI,AUDI R8,170
MG,MG MODEL MISSING,166
TOYOTA,TOYOTA CROWN,164
FIAT,FIAT MODEL MISSING,163
KGM,KGM TORRES,159
ASTON MARTIN,ASTON MARTIN VANQUISH,157
MERCEDES,MERCEDES COLEMAN MILNE,156
GENESIS,GENESIS GV80,147
JAECOO,JAECOO MODEL MISSING,146
JAGUAR,JAGUAR E TYPE,144
BMW,BMW X6 M,138
BMW,BMW ALPINA B3,138
XPENG,XPENG G6,137
FERRARI,FERRARI MODEL MISSING,133
GENESIS,GENESIS G80,132
MERCEDES-BENZ,MERCEDES-BENZ GLC CLASS,132
SKYWELL,SKYWELL BE11,127
NISSAN,NISSAN SILVIA,127
MERCEDES,MERCEDES EQV CLASS,126
NISSAN,NISSAN CUBE,126
CHRYSLER,CHRYSLER MODEL MISSING,120
TOYOTA,TOYOTA FJ CRUISER,119
AUDI,AUDI RS7,119
NISSAN,NISSAN SKYLINE,119
ROLLS ROYCE,ROLLS ROYCE PHANTOM,115
AUSTIN HEALEY,AUSTIN HEALEY MODEL MISSING,111
MCLAREN,MCLAREN MODEL MISSING,109
MASERATI,MASERATI LEVANTE,108
FORD,FORD CORTINA,108
ALFA ROMEO,ALFA ROMEO MODEL MISSING,107
FERRARI,FERRARI 812,106
MASERATI,MASERATI GRANTURISMO,105
JAGUAR,JAGUAR XJ SERIES,104
HONDA,HONDA INSIGHT,104
LAMBORGHINI,LAMBORGHINI TEMERARIO,103
FORD,FORD COLEMAN MILNE,102
MERCEDES,MERCEDES EVITO,102
MERCEDES-BENZ,MERCEDES-BENZ EQV CLASS,102
AION,AION V ADVANCED,101
TOYOTA,TOYOTA SUPRA,100
MERCEDES-BENZ,MERCEDES-BENZ AMG EQE CLASS,99
JAGUAR,JAGUAR XK SERIES,99
VOLVO,VOLVO S90,97
TESLA,TESLA MODEL X,96
TESLA,TESLA MODEL S,95
TOYOTA,TOYOTA ALTEZZA,95
FIAT,FIAT DUCATO,94
FORD,FORD MONDEO,94
CHEVROLET GMC,CHEVROLET GMC CORVETTE,93
MAN,MAN TGE,92
MITSUBISHI,MITSUBISHI LANCER,92
MITSUBISHI,MITSUBISHI OUTLANDER,91
CADILLAC,CADILLAC MODEL MISSING,90
TOYOTA,TOYOTA HIACE,89
ARIEL,ARIEL MODEL MISSING,88
DACIA,DACIA MODEL MISSING,88
GENESIS,GENESIS G70,88
MAXUS,MAXUS MIFA,87
AUDI,AUDI S7,85
PEUGEOT,PEUGEOT 106,85
GWM,GWM ORA 03 GT,84
DS,DS NO 8,82
OPEL,OPEL MODEL MISSING,82
VOLKSWAGEN,VOLKSWAGEN JETTA,82
MAZDA,MAZDA DEMIO,81
MORGAN,MORGAN PLUS SIX AUTO,80
NISSAN,NISSAN MARCH,78
HONDA,HONDA INTEGRA,76
DS,DS DS9,75
ASTON MARTIN,ASTON MARTIN DBS,74
SEAT,SEAT MODEL MISSING,73
MERCEDES-BENZ,MERCEDES-BENZ AMG CLA CLASS,73
CHEVROLET GMC,CHEVROLET GMC CAMARO,73
MERCEDES-BENZ,MERCEDES-BENZ EQS CLASS,72
OMODA,OMODA MODEL MISSING,71
POLESTAR,POLESTAR MODEL MISSING,71
FORD,FORD ECOSPORT,70
MASERATI,MASERATI GRECALE FOLGORE,69
LEXUS,LEXUS LS,69
MCLAREN,MCLAREN GT,69
MORGAN,MORGAN PLUS 6,68
VAUXHALL,VAUXHALL MODEL MISSING,66
PEUGEOT,PEUGEOT 406,65
AUDI,AUDI TTRS,65
LAMBORGHINI,LAMBORGHINI MODEL MISSING,64
HONDA,HONDA S660,63
CHEVROLET GMC,CHEVROLET GMC MODEL MISSING,60
LEXUS,LEXUS IS,60
AUDI,AUDI S8,60
FERRARI,FERRARI AMALFI,60
VOLVO,VOLVO V50,59
CHERY,CHERY MODEL MISSING,59
LEXUS,LEXUS LC,59
MINI,MINI ONE,58
AUSTIN,AUSTIN MINI,58
BMW,BMW 6 SERIES,57
AUSTIN,AUSTIN MODEL MISSING,56
ROLLS ROYCE,ROLLS ROYCE MODEL MISSING,56
MAXUS,MAXUS DELIVER,55
SMART,SMART MODEL MISSING,54
LINCOLN,LINCOLN MODEL MISSING,54
VOLKSWAGEN,VOLKSWAGEN KARMANN GHIA,53
LANCIA,LANCIA MODEL MISSING,51
TESLA,TESLA MODEL MISSING,50
BMW,BMW ALPINA D3,50
MAZDA,MAZDA RX-7,49
FERRARI,FERRARI DAYTONA,48
DATSUN,DATSUN MODEL MISSING,47
TOYOTA,TOYOTA CELICA,47
FORD,FORD SIERRA,46
LAND ROVER,LAND ROVER FREELANDER,46
GORDON MURRAY,GORDON MURRAY T.50,44
LANCIA,LANCIA FULVIA,44
DS,DS NO 4,43
MAZDA,MAZDA MAZDA 6E,42
JEEP,JEEP CHEROKEE,42
MASERATI,MASERATI GRANCABRIO,41
TOYOTA,TOYOTA CENTURY,41
ALFA ROMEO,ALFA ROMEO GIULIETTA,40
ASTON MARTIN,ASTON MARTIN VALHALLA,40
ALPINE,ALPINE A390,39
TOYOTA,TOYOTA MR2,39
LOTUS,LOTUS MODEL MISSING,38
CITROEN,CITROEN RELAY,38
BUICK,BUICK MODEL MISSING,37
SHINERAY,SHINERAY MODEL MISSING,36
PEUGEOT,PEUGEOT HORIZON,36
TOYOTA,TOYOTA SOARER,36
ALFA ROMEO,ALFA ROMEO SPIDER,36
MERCEDES,MERCEDES 190,35
BMW,BMW Z3,34
TOYOTA,TOYOTA 4-RUNNER,34
HYUNDAI,HYUNDAI 1400,33
TOYOTA,TOYOTA PREVIA,33
FORD,FORD GRANADA,33
MERCEDES,MERCEDES 300,33
VOLVO,VOLVO XC70,33
VOLKSWAGEN,VOLKSWAGEN LUPO,33
MASERATI,MASERATI MC20,33
ROVER,ROVER MINI,33
TOYOTA,TOYOTA CAVALIER,32
FERRARI,FERRARI PORTOFINO,32
PORSCHE,PORSCHE BOXSTER,32
NISSAN,NISSAN PRIMASTAR,31
MASERATI,MASERATI GHIBLI,31
MERCEDES-BENZ,MERCEDES-BENZ AMG CLE CLASS,31
MERCEDES,MERCEDES SL CLASS,31
CADILLAC,CADILLAC ESCALADE,30
AUSTIN,AUSTIN SEVEN,30
FORD,FORD ANGLIA,30
PONTIAC,PONTIAC FIREBIRD,30
VAUXHALL,VAUXHALL ZAFIRA,29
MERCEDES,MERCEDES SLK CLASS,28
PONTIAC,PONTIAC MODEL MISSING,28
VOLKSWAGEN,VOLKSWAGEN CARAVELLE,28
TOYOTA,TOYOTA SPRINTER,28
FIAT,FIAT 126,28
VOLVO,VOLVO 850,28
TRIUMPH,TRIUMPH MODEL MISSING,27
DFSK,DFSK MODEL MISSING,27
TOYOTA,TOYOTA AVENSIS,27
DAIHATSU,DAIHATSU MODEL MISSING,27
MAZDA,MAZDA BONGO FRIENDEE A,27
TRIUMPH,TRIUMPH TR4,27
BUGATTI,BUGATTI MODEL MISSING,26
CITROEN,CITROEN DS,26
MERCURY,MERCURY MODEL MISSING,26
PLYMOUTH,PLYMOUTH MODEL MISSING,26
AUDI,AUDI QUATTRO,25
LEXUS,LEXUS RC,25
BMW,BMW ALPINA B5,25
CITROEN,CITROEN 2CV,25
TOYOTA,TOYOTA MARK II,25
TRIUMPH,TRIUMPH TR3,25
WESTFIELD,WESTFIELD MODEL MISSING,25
BMW,BMW 1 SERIES M,24
JAGUAR,JAGUAR S TYPE,24
MAZDA,MAZDA 6,24
MERCEDES,MERCEDES CLS CLASS,24
PEUGEOT,PEUGEOT 309,24
VOLVO,VOLVO S80,24
LADA,LADA MODEL MISSING,24
MORRIS,MORRIS MINI,24
TRIUMPH,TRIUMPH TR6,24
BMW,BMW ALPINA B4,23
ASTON MARTIN,ASTON MARTIN VALKYRIE,22
FERRARI,FERRARI TESTAROSSA,22
