year,quarter,brand,model,count
2023,3,PORSCHE,PORSCHE 718,484
2023,3,LEXUS,LEXUS ES 300,477
2023,3,VOLKSWAGEN,VOLKSWAGEN PASSAT,458
2023,3,HONDA,HONDA ZR-V SPORT,445
2023,3,BMW,BMW M4,444
2023,3,JEEP,JEEP COMPASS,443
2023,3,MG,MG 5,441
2023,3,SEAT,SEAT TARRACO,431
2023,3,AUDI,AUDI TT,430
2023,3,AUDI,AUDI TTS,427
2023,3,HYUNDAI,HYUNDAI I30,409
2023,3,VAUXHALL,VAUXHALL VIVARO,407
2023,3,MERCEDES,MERCEDES V CLASS,394
2023,3,PEUGEOT,PEUGEOT 408,386
2023,3,VOLKSWAGEN,VOLKSWAGEN MODEL MISSING,382
2023,3,ORA,ORA FUNKY CAT,370
2023,3,VOLKSWAGEN,VOLKSWAGEN CADDY,370
2023,3,SUBARU,SUBARU OUTBACK,367
2023,3,VOLKSWAGEN,VOLKSWAGEN ID BUZZ,358
2023,3,KIA,KIA RIO,356
2023,3,NISSAN,NISSAN ARIYA,350
2023,3,SUZUKI,SUZUKI SWACE,327
2023,3,MAZDA,MAZDA MX-30,315
2023,3,MERCEDES,MERCEDES B CLASS,314
2023,3,ALFA ROMEO,ALFA ROMEO TONALE,314
2023,3,BYD,BYD ATTO 3,310
2023,3,VOLKSWAGEN,VOLKSWAGEN ARTEON,310
2023,3,LOTUS,LOTUS EMIRA,307
2023,3,AUDI,AUDI MODEL MISSING,286
2023,3,JAGUAR,JAGUAR XE SERIES,280
2023,3,CUPRA,CUPRA ATECA,279
2023,3,FORD,FORD TRANSIT CUSTOM,251
2023,3,JAGUAR,JAGUAR XF SERIES,241
2023,3,BMW,BMW X7,239
2023,3,VOLVO,VOLVO V90,237
2023,3,BMW,BMW Z4,233
2023,3,CITROEN,CITROEN BERLINGO,227
2023,3,RENAULT,RENAULT ZOE,227
2023,3,MERCEDES,MERCEDES MODEL MISSING,222
2023,3,BMW,BMW X4,219
2023,3,BMW,BMW 8 SERIES,215
2023,3,VOLVO,VOLVO V60,214
2023,3,VOLKSWAGEN,VOLKSWAGEN TOURAN,212
2023,3,TOYOTA,TOYOTA ESTIMA,209
2023,3,LEXUS,LEXUS RX 350,208
2023,3,LEXUS,LEXUS RX 450,208
2023,3,INEOS,INEOS GRENADIER,203
2023,3,LAND ROVER,LAND ROVER MODEL MISSING,195
2023,3,MERCEDES,MERCEDES S CLASS,195
2023,3,BMW,BMW 7 SERIES,191
2023,3,AUDI,AUDI RS3,188
2023,3,ABARTH,ABARTH 695,179
2023,3,JAGUAR,JAGUAR F-TYPE,177
2023,3,PORSCHE,PORSCHE PANAMERA,175
2023,3,KIA,KIA PROCEED,172
2023,3,DS,DS DS7,170
2023,3,LEXUS,LEXUS RX 500,169
2023,3,VOLVO,VOLVO S60,168
2023,3,PEUGEOT,PEUGEOT 508,167
2023,3,JEEP,JEEP AVENGER,165
2023,3,DS,DS DS4,164
2023,3,SUZUKI,SUZUKI ACROSS,163
2023,3,SSANGYONG,SSANGYONG KORANDO,162
2023,3,LEXUS,LEXUS RZ 450,161
2023,3,BMW,BMW X6,160
2023,3,SUBARU,SUBARU XV,160
2023,3,FIAT,FIAT PANDA,160
2023,3,TOYOTA,TOYOTA LANDCRUISER,159
2023,3,BENTLEY,BENTLEY BENTAYGA,150
2023,3,SSANGYONG,SSANGYONG REXTON,149
2023,3,SUBARU,SUBARU FORESTER,149
2023,3,GENESIS,GENESIS GV60,148
2023,3,VAUXHALL,VAUXHALL COMBO,148
2023,3,RENAULT,RENAULT TRAFIC,147
2023,3,MERCEDES,MERCEDES EQS CLASS,146
2023,3,VOLKSWAGEN,VOLKSWAGEN MULTIVAN,145
2023,3,VOLVO,VOLVO MODEL MISSING,136
2023,3,CITROEN,CITROEN SPACETOURER,133
2023,3,AUDI,AUDI RSQ8,131
2023,3,OTHER BRITISH,OTHER BRITISH MODEL MISSING,129
2023,3,MASERATI,MASERATI GRECALE,128
2023,3,AUDI,AUDI RS4,125
2023,3,FORD,FORD MODEL MISSING,124
2023,3,FORD,FORD GALAXY,121
2023,3,AUDI,AUDI RS6,121
2023,3,JEEP,JEEP RENEGADE,121
2023,3,KIA,KIA SOUL,117
2023,3,LOTUS,LOTUS ELETRE,117
2023,3,TOYOTA,TOYOTA BZ4X,117
2023,3,BMW,BMW MODEL MISSING,117
2023,3,TOYOTA,TOYOTA PROACE,116
2023,3,FERRARI,FERRARI 296,113
2023,3,ABARTH,ABARTH 500,107
2023,3,BMW,BMW I5,107
2023,3,FORD,FORD S-MAX,104
2023,3,ASTON MARTIN,ASTON MARTIN DBX,104
2023,3,INEOS,INEOS GRENADIER FIELDMASTER ED D A,103
2023,3,MERCEDES,MERCEDES G CLASS,103
2023,3,ABARTH,ABARTH 595,101
2023,3,LAMBORGHINI,LAMBORGHINI URUS,101
2023,3,AUDI,AUDI SQ5,97
2023,3,SSANGYONG,SSANGYONG TIVOLI,95
2023,3,DS,DS DS3,92
2023,3,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,92
2023,3,BENTLEY,BENTLEY CONTINENTAL,89
2023,3,HONDA,HONDA STEPWAGON,87
2023,3,BENTLEY,BENTLEY MODEL MISSING,86
2023,3,MAZDA,MAZDA MODEL MISSING,82
2023,3,AUDI,AUDI A8,81
2023,3,LEXUS,LEXUS UX 300,78
2023,3,MERCEDES,MERCEDES VITO,78
2023,3,FIAT,FIAT TIPO,78
2023,3,ALPINE,ALPINE A110,76
2023,3,SUBARU,SUBARU SOLTERRA,75
2023,3,AUDI,AUDI A7,75
2023,3,MERCEDES,MERCEDES GLS CLASS,72
2023,3,AUDI,AUDI SQ7,70
2023,3,SMART,SMART FORTWO,68
2023,3,NISSAN,NISSAN ELGRAND,68
2023,3,JEEP,JEEP WRANGLER,67
2023,3,AUDI,AUDI SQ8,66
2023,3,PEUGEOT,PEUGEOT BOXER,66
2023,3,ROLLS ROYCE,ROLLS ROYCE CULLINAN,66
2023,3,HONDA,HONDA FIT,63
2023,3,LAMBORGHINI,LAMBORGHINI HURACAN,63
2023,3,GENESIS,GENESIS GV70,62
2023,3,ALFA ROMEO,ALFA ROMEO GIULIA,62
2023,3,ASTON MARTIN,ASTON MARTIN VANTAGE,62
2023,3,SUBARU,SUBARU MODEL MISSING,61
2023,3,TOYOTA,TOYOTA ALPHARD,61
2023,3,FORD,FORD MUSTANG,60
2023,3,TOYOTA,TOYOTA VELLFIRE,59
2023,3,SMART,SMART 1 PREMIUM,57
2023,3,MITSUBISHI,MITSUBISHI MODEL MISSING,57
2023,3,AUDI,AUDI RSQ3,57
2023,3,NISSAN,NISSAN MICRA,57
2023,3,HONDA,HONDA E,54
2023,3,AUDI,AUDI S5,53
2023,3,AUDI,AUDI SQ2,53
2023,3,BMW,BMW M8,53
2023,3,SUZUKI,SUZUKI MODEL MISSING,52
2023,3,BENTLEY,BENTLEY FLYING SPUR,52
2023,3,FORD,FORD ECOSPORT,52
2023,3,SKODA,SKODA MODEL MISSING,50
2023,3,JAGUAR,JAGUAR MODEL MISSING,49
2023,3,ALFA ROMEO,ALFA ROMEO STELVIO,48
2023,3,VAUXHALL,VAUXHALL MOVANO,46
2023,3,FERRARI,FERRARI ROMA,46
2023,3,TOYOTA,TOYOTA SUPRA,46
2023,3,BMW,BMW M5,45
2023,3,CHEVROLET,CHEVROLET CORVETTE,45
2023,3,VOLVO,VOLVO V70,45
2023,3,MERCEDES,MERCEDES SPRINTER,43
2023,3,AUDI,AUDI RS5,43
2023,3,FERRARI,FERRARI 812,42
2023,3,TOYOTA,TOYOTA HIGHLANDER,41
2023,3,PEUGEOT,PEUGEOT MODEL MISSING,39
2023,3,TOYOTA,TOYOTA VITZ,39
2023,3,ASTON MARTIN,ASTON MARTIN DBS,38
2023,3,BMW,BMW XM,38
2023,3,RENAULT,RENAULT MODEL MISSING,37
2023,3,AUDI,AUDI TTRS,37
2023,3,SMART,SMART 1 BRABUS,36
2023,3,FORD,FORD ESCORT,36
2023,3,RENAULT,RENAULT MASTER,36
2023,3,TOYOTA,TOYOTA AQUA,34
2023,3,LEXUS,LEXUS MODEL MISSING,33
2023,3,BMW,BMW M SERIES,33
2023,3,MASERATI,MASERATI LEVANTE,32
2023,3,VOLKSWAGEN,VOLKSWAGEN SHARAN,31
2023,3,JEEP,JEEP MODEL MISSING,31
2023,3,TESLA,TESLA MODEL X,29
2023,3,CITROEN,CITROEN MODEL MISSING,29
2023,3,KIA,KIA MODEL MISSING,29
2023,3,AUDI,AUDI R8,29
2023,3,VOLKSWAGEN,VOLKSWAGEN BEETLE,29
2023,3,DODGE,DODGE MODEL MISSING,28
2023,3,VOLVO,VOLVO S90,27
2023,3,SUBARU,SUBARU IMPREZA,27
2023,3,PORSCHE,PORSCHE MODEL MISSING,25
2023,3,TESLA,TESLA MODEL S,24
2023,3,FORD,FORD ALLIED,24
2023,3,ROLLS ROYCE,ROLLS ROYCE GHOST,24
2023,3,DS,DS DS9,23
2023,3,PEUGEOT,PEUGEOT TRAVELLER,22
2023,3,CATERHAM,CATERHAM MODEL MISSING,22
2023,3,BYD,BYD DOLPHIN DESIGN EV,21
2023,3,CHEVROLET,CHEVROLET MODEL MISSING,21
2023,3,HYUNDAI,HYUNDAI MODEL MISSING,21
2023,3,FERRARI,FERRARI SF90,21
2023,3,BMW,BMW ALPINA,20
2023,3,HONDA,HONDA INSIGHT,20
2023,3,HONDA,HONDA ODYSSEY,20
