year,quarter,brand,model,count
2026,2,VOLVO,VOLVO V60,421
2026,2,MAZDA,MAZDA CX-60,409
2026,2,KIA,KIA EV9,401
2026,2,BMW,BMW M3,398
2026,2,TOYOTA,TOYOTA NOAH,397
2026,2,HONDA,HONDA CIVIC,390
2026,2,HONDA,HONDA MODEL MISSING,389
2026,2,MERCEDES-BENZ,MERCEDES-BENZ V CLASS,389
2026,2,MAZDA,MAZDA 3,383
2026,2,BMW,BMW M2,376
2026,2,BMW,BMW X7,375
2026,2,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,373
2026,2,BMW,BMW M5,365
2026,2,RENAULT,RENAULT MODEL MISSING,362
2026,2,BMW,BMW MODEL MISSING,358
2026,2,KIA,KIA EV6,357
2026,2,POLESTAR,POLESTAR 3,350
2026,2,MERCEDES,MERCEDES CLE CLASS,350
2026,2,MERCEDES,MERCEDES E CLASS,344
2026,2,MERCEDES,MERCEDES MODEL MISSING,340
2026,2,PEUGEOT,PEUGEOT 308,340
2026,2,TOYOTA,TOYOTA ESTIMA,338
2026,2,MAZDA,MAZDA MX-5,337
2026,2,LEAPMOTOR,LEAPMOTOR T03,330
2026,2,KIA,KIA K4,329
2026,2,LEXUS,LEXUS RX,329
2026,2,AUDI,AUDI RS3,320
2026,2,KIA,KIA SORENTO,313
2026,2,KIA,KIA XCEED,306
2026,2,HONDA,HONDA ZR-V SPORT,305
2026,2,MERCEDES,MERCEDES VITO,297
2026,2,RENAULT,RENAULT MEGANE,292
2026,2,AUDI,AUDI S3,292
2026,2,VOLKSWAGEN,VOLKSWAGEN MODEL MISSING,286
2026,2,PEUGEOT,PEUGEOT 408,278
2026,2,VOLKSWAGEN,VOLKSWAGEN UP,263
2026,2,MERCEDES-BENZ,MERCEDES-BENZ EQA CLASS,259
2026,2,VOLVO,VOLVO MODEL MISSING,253
2026,2,VOLVO,VOLVO EX90,249
2026,2,XPENG,XPENG G6 LONG RANGE,241
2026,2,FORD,FORD MUSTANG,240
2026,2,RENAULT,RENAULT RAFALE,236
2026,2,GENESIS,GENESIS GV60,234
2026,2,MAZDA,MAZDA CX-80,228
2026,2,SMART,SMART 5,227
2026,2,SUZUKI,SUZUKI MODEL MISSING,227
2026,2,CITROEN,CITROEN C4,226
2026,2,SUZUKI,SUZUKI JIMNY,224
2026,2,FIAT,FIAT 500,220
2026,2,TOYOTA,TOYOTA VELLFIRE,220
2026,2,TOYOTA,TOYOTA RAV4,219
2026,2,LOTUS,LOTUS ELETRE,215
2026,2,ABARTH,ABARTH 600E,200
2026,2,SMART,SMART 1,193
2026,2,TOYOTA,TOYOTA LAND CRUISER,190
2026,2,CITROEN,CITROEN E-C5,189
2026,2,BMW,BMW M4,189
2026,2,LEXUS,LEXUS UX,185
2026,2,AUDI,AUDI S5,183
2026,2,AUDI,AUDI SQ5,181
2026,2,NISSAN,NISSAN ARIYA,180
2026,2,MERCEDES-BENZ,MERCEDES-BENZ C CLASS,179
2026,2,VAUXHALL,VAUXHALL ALLIED VENTURE,176
2026,2,MERCEDES-BENZ,MERCEDES-BENZ CLE CLASS,169
2026,2,AUDI,AUDI A4,159
2026,2,CITROEN,CITROEN E-BERLINGO,156
2026,2,SMART,SMART 3,156
2026,2,AUDI,AUDI SQ6,155
2026,2,MERCEDES-BENZ,MERCEDES-BENZ A CLASS,151
2026,2,AUDI,AUDI E-TRON,147
2026,2,PORSCHE,PORSCHE PANAMERA,145
2026,2,MERCEDES-BENZ,MERCEDES-BENZ G CLASS,143
2026,2,SUBARU,SUBARU FORESTER,135
2026,2,FORD,FORD TRANSIT CUSTOM,134
2026,2,AUDI,AUDI Q8,130
2026,2,HONDA,HONDA PRELUDE,126
2026,2,FORD,FORD MODEL MISSING,124
2026,2,MERCEDES-BENZ,MERCEDES-BENZ GLC CLASS,123
2026,2,BMW,BMW 7 SERIES,123
2026,2,BENTLEY,BENTLEY CONTINENTAL,123
2026,2,MERCEDES-BENZ,MERCEDES-BENZ GLE CLASS,122
2026,2,OTHER BRITISH,OTHER BRITISH MODEL MISSING,117
2026,2,BMW,BMW I7,115
2026,2,HYUNDAI,HYUNDAI MODEL MISSING,115
2026,2,HONDA,HONDA STEPWAGON,115
2026,2,JAECOO,JAECOO MODEL MISSING,115
2026,2,HONDA,HONDA FIT,112
2026,2,MERCEDES,MERCEDES V CLASS,110
2026,2,MASERATI,MASERATI GRECALE,109
2026,2,VOLVO,VOLVO V40,106
2026,2,TOYOTA,TOYOTA AQUA,105
2026,2,ASTON MARTIN,ASTON MARTIN VANTAGE,104
2026,2,SUBARU,SUBARU CROSSTREK,103
2026,2,VOLVO,VOLVO EC40,102
2026,2,AION,AION V ADVANCED,101
2026,2,XPENG,XPENG G6,101
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG G CLASS,99
2026,2,BENTLEY,BENTLEY BENTAYGA,98
2026,2,MERCEDES,MERCEDES GLS CLASS,96
2026,2,LAMBORGHINI,LAMBORGHINI URUS,96
2026,2,GENESIS,GENESIS GV70,94
2026,2,PEUGEOT,PEUGEOT BOXER,91
2026,2,TOYOTA,TOYOTA ALPHARD,91
2026,2,OMODA,OMODA E5 KNIGHT,90
2026,2,TOYOTA,TOYOTA PROACE,89
2026,2,NISSAN,NISSAN ELGRAND,89
2026,2,KGM,KGM TIVOLI,89
2026,2,VOLKSWAGEN,VOLKSWAGEN CALIFORNIA,88
2026,2,MERCEDES-BENZ,MERCEDES-BENZ S CLASS,88
2026,2,VOLKSWAGEN,VOLKSWAGEN BEETLE,88
2026,2,ASTON MARTIN,ASTON MARTIN DBX,87
2026,2,MERCEDES-BENZ,MERCEDES-BENZ EQB CLASS,85
2026,2,LOTUS,LOTUS EMEYA,82
2026,2,MG,MG CYBERSTER,81
2026,2,BMW,BMW X6,81
2026,2,MERCEDES,MERCEDES B CLASS,78
2026,2,MERCEDES-BENZ,MERCEDES-BENZ MODEL MISSING,78
2026,2,HONDA,HONDA E,77
2026,2,SKYWELL,SKYWELL BE11,75
2026,2,FIAT,FIAT PANDA,75
2026,2,TOYOTA,TOYOTA VITZ,74
2026,2,KGM,KGM ACTYON K50 AUTO,73
2026,2,XPENG,XPENG G6 STANDARD RANGE,72
2026,2,AUDI,AUDI SQ2,72
2026,2,HYUNDAI,HYUNDAI I30,72
2026,2,MITSUBISHI,MITSUBISHI OUTLANDER,72
2026,2,PEUGEOT,PEUGEOT MODEL MISSING,67
2026,2,BENTLEY,BENTLEY MODEL MISSING,66
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG GLE CLASS,65
2026,2,SUBARU,SUBARU OUTBACK,64
2026,2,AUDI,AUDI RSQ8,63
2026,2,MERCEDES,MERCEDES EQB CLASS,62
2026,2,KGM,KGM TORRES K40,60
2026,2,ASTON MARTIN,ASTON MARTIN DB12,60
2026,2,SUBARU,SUBARU MODEL MISSING,59
2026,2,INEOS,INEOS GRENADIER,59
2026,2,LAMBORGHINI,LAMBORGHINI TEMERARIO,57
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG GT CLASS,56
2026,2,VOLKSWAGEN,VOLKSWAGEN CRAFTER,55
2026,2,ALPINE,ALPINE A110,55
2026,2,FERRARI,FERRARI AMALFI,55
2026,2,ROLLS ROYCE,ROLLS ROYCE CULLINAN,55
2026,2,AUDI,AUDI S6,53
2026,2,MITSUBISHI,MITSUBISHI MODEL MISSING,53
2026,2,CATERHAM,CATERHAM MODEL MISSING,53
2026,2,CUPRA,CUPRA ATECA,51
2026,2,BMW,BMW XM,51
2026,2,RENAULT TRUCKS,RENAULT TRUCKS TRAFIC,50
2026,2,SEAT,SEAT ATECA,50
2026,2,MAZDA,MAZDA MODEL MISSING,48
2026,2,ALFA ROMEO,ALFA ROMEO TONALE,48
2026,2,ALFA ROMEO,ALFA ROMEO GIULIA,48
2026,2,AUDI,AUDI RS5,48
2026,2,VAUXHALL,VAUXHALL VIVARO,45
2026,2,VOLKSWAGEN,VOLKSWAGEN TOURAN,45
2026,2,MERCEDES,MERCEDES S CLASS,45
