year,month,fuel,count
2026,2,PHEV,796
2026,2,Petrol,1720
2026,3,BEV,3369
2026,3,Diesel,221
2026,3,PHEV,897
2026,3,Petrol,2306
2026,4,BEV,2784
2026,4,Diesel,213
2026,4,PHEV,637
2026,4,Petrol,2072
2026,5,BEV,3309
2026,5,Diesel,212
2026,5,PHEV,722
2026,5,Petrol,2540
2026,6,BEV,3642
2026,6,Diesel,300
2026,6,PHEV,911
2026,6,Petrol,2711
