year,month,fuel,count
2025,1,Petrol,5185
2025,2,BEV,6928
2025,2,Diesel,1525
2025,2,Hybrid,1620
2025,2,Other,9
2025,2,PHEV,5133
2025,2,Petrol,4994
2025,3,BEV,8435
2025,3,Diesel,2023
2025,3,Hybrid,2127
2025,3,Other,17
2025,3,PHEV,6339
2025,3,Petrol,6018
2025,4,BEV,8606
2025,4,Diesel,2169
2025,4,Hybrid,1885
2025,4,Other,16
2025,4,PHEV,6849
2025,4,Petrol,5707
2025,5,BEV,9526
2025,5,Diesel,2079
2025,5,Hybrid,2209
2025,5,Other,6
2025,5,PHEV,6811
2025,5,Petrol,5976
2025,6,BEV,10845
2025,6,Diesel,2180
2025,6,Hybrid,1773
2025,6,Other,14
2025,6,PHEV,7298
2025,6,Petrol,6527
2025,7,BEV,6224
2025,7,Diesel,1644
2025,7,Hybrid,1288
2025,7,Other,10
2025,7,PHEV,4865
2025,7,Petrol,4586
2025,8,BEV,6790
2025,8,Diesel,1824
2025,8,Hybrid,2260
2025,8,Other,7
2025,8,PHEV,5159
2025,8,Petrol,4774
2025,9,BEV,9658
2025,9,Diesel,1620
2025,9,Hybrid,2002
2025,9,Other,8
2025,9,PHEV,7667
2025,9,Petrol,5208
2025,10,BEV,8772
2025,10,Diesel,1910
2025,10,Hybrid,2184
2025,10,Other,37
2025,10,PHEV,7166
2025,10,Petrol,5125
2025,11,BEV,8539
2025,11,Diesel,1565
2025,11,Hybrid,2047
2025,11,Other,76
2025,11,PHEV,5299
2025,11,Petrol,4389
2025,12,BEV,10320
2025,12,Diesel,1485
2025,12,Hybrid,2385
2025,12,Other,86
2025,12,PHEV,6124
2025,12,Petrol,4221
2026,1,BEV,6750
2026,1,Diesel,1153
2026,1,Hybrid,1609
2026,1,Other,91
2026,1,PHEV,3630
2026,1,Petrol,3434
2026,2,BEV,7686
2026,2,Diesel,1576
2026,2,Hybrid,1568
2026,2,Other,101
2026,2,PHEV,4948
2026,2,Petrol,4126
2026,3,BEV,10926
2026,3,Diesel,2039
2026,3,Hybrid,2032
2026,3,Other,144
2026,3,PHEV,6545
2026,3,Petrol,5893
2026,4,BEV,9886
2026,4,Diesel,2172
2026,4,Hybrid,2257
2026,4,Other,138
2026,4,PHEV,5843
2026,4,Petrol,4873
2026,5,BEV,10770
2026,5,Diesel,2057
2026,5,Hybrid,2001
2026,5,Other,81
2026,5,PHEV,6680
2026,5,Petrol,5418
2026,6,BEV,13062
2026,6,Diesel,2350
2026,6,Hybrid,1837
2026,6,Other,83
2026,6,PHEV,7580
2026,6,Petrol,6171
2026,7,BEV,8004
2026,7,Diesel,1742
2026,7,Hybrid,1521
2026,7,Other,63
2026,7,PHEV,4489
2026,7,Petrol,3868
