year,month,brand,model,count
2026,8,BMW,X1 SDRIVE20I,23
2026,8,SUBARU,SUBARU UNCHARTED,22
2026,8,MERCEDES-BENZ,GLB 200,22
2026,8,XPENG,G9,22
2026,8,XPENG,P7+,22
2026,8,KIA,PV5,22
2026,8,FORD,MUSTANG MACH-E,22
2026,8,KIA,EV6,22
2026,8,LEAPMOTOR,B03X,22
2026,8,SKODA,ENYAQ 60,20
2026,8,BMW,318I,20
2026,8,AUDI,RS 5 AVANT,20
2026,8,SEAT,ARONA,20
2026,8,AUDI,Q5 SB 270KW TFSI E,20
2026,8,AUDI,Q6 SUV E-TRON QUATTRO,20
2026,8,SMART,#5,20
2026,8,BYD,BYD SEAL U,19
2026,8,HYUNDAI,BAYON,19
2026,8,LAND ROVER,RANGE ROVER,19
2026,8,PORSCHE,911 TURBO S,19
2026,8,MITSUBISHI,COLT,19
2026,8,AUDI,A6 AVANT 270KW TFSI E,19
2026,8,ZEEKR,X,18
2026,8,BYD,SEAL 6 DM-I TOURING,18
2026,8,PORSCHE,CAYENNE E-HYBRID,18
2026,8,MG,MG S6 EV,18
2026,8,LAND ROVER,RANGE ROVER EVOQUE,18
2026,8,PORSCHE,MACAN 4,18
2026,8,JAECOO,JAECOO8 PHEV,18
2026,8,MG,MG S5 EV,17
2026,8,SUBARU,SUBARU E-OUTBACK,17
2026,8,MAZDA,MAZDA CX-60,17
2026,8,PORSCHE,CAYENNE TURBO,17
2026,8,MINI,COOPER S,17
2026,8,SKODA,ENYAQ RS,16
2026,8,LEXUS,LEXUS RZ350E,16
2026,8,DONGFENG,BOX,16
2026,8,CUPRA,FORMENTOR E-HYBRID,16
2026,8,NISSAN,TOWNSTAR,15
2026,8,GEELY,GEELY E5,15
2026,8,MG,MG HS,15
2026,8,BMW,550E XDRIVE,15
2026,8,GENESIS,GV60,15
2026,8,MAZDA,MAZDA CX-80,15
2026,8,MG,MG HS HYBRID+,15
2026,8,BMW,X1 XDRIVE30E,14
2026,8,MERCEDES-BENZ,S 580 E 4MATIC,14
2026,8,MERCEDES-BENZ,SPRINTER,14
2026,8,OPEL,VIVARO,14
2026,8,MITSUBISHI,GRANDIS,14
2026,8,HYUNDAI,IONIQ6,14
2026,8,RENAULT,CAPTUR,14
2026,8,MERCEDES-BENZ,VITO TOURER,14
2026,8,MAZDA,MAZDA3,14
2026,8,ALPINE,A390,13
