year,month,brand,model,count
2025,4,BMW,220I ACTIVE TOURER,3
2025,4,ADRIA,CORAL 670DC,3
2025,4,HYMER,B-MC T 680 BLACKLINE,3
2025,4,SUN LIVING,S-SERIES S 65SL,3
2025,4,PORSCHE,TAYCAN 4,3
2025,4,BMW,X5 M COMPETITION,3
2025,4,VOLKSWAGEN,ID.4 PRO 4MOTION 210KW,3
2025,4,MERCEDES-BENZ,AMG C 63 S E PERFORMANCE,3
2025,4,MERCEDES-BENZ,EVITO TOURER,3
2025,4,DETHLEFFS,TREND T 7057 EB,3
2025,4,AUDI,A5 LIM 220KW TFSI E,3
2025,4,FERRARI,SF90 SPIDER,3
2025,4,MERCEDES-BENZ,S 580 E 4MATIC,3
2025,4,AUDI,A6 AVANT 55 TFSI E,3
2025,4,AUDI,Q6 SB E-TRON QUATTRO,3
2025,4,SUZUKI,SUZUKI SWACE,3
2025,4,PORSCHE,PANAMERA 4S E-HYBRID,3
2025,4,BMW,M3 COMPETITION M XDRIVE,3
2025,4,KNAUS,R09,3
2025,4,BMW,I5 M60 XDRIVE,3
2025,4,MERCEDES-BENZ,B 200,3
2025,4,BMW,X7 XDRIVE40I,3
2025,4,MC LOUIS,MC4 881,3
2025,4,JAGUAR,JAGUAR F-PACE,3
2025,4,MAZDA,MAZDA MX-5,3
2025,4,JEEP,GRAND CHEROKEE,3
2025,4,LEXUS,LEXUS RX450H+,3
2025,4,WEINSBERG,R58,3
2025,4,BMW,X5 XDRIVE50E,2
2025,4,HYMER,B-MC I 680,2
2025,4,BENTLEY,FLYING SPUR SPEED,2
2025,4,MERCEDES-BENZ,C 200,2
2025,4,MERCEDES-BENZ,CLE 450 4MATIC,2
2025,4,MC LOUIS,GLAMYS 320,2
2025,4,MERCEDES-BENZ,EQB 300 4MATIC,2
2025,4,TESLA,MODEL X,2
2025,4,CAPRON,V66,2
2025,4,BMW,223 XDRIVE,2
2025,4,SUBARU,CROSSTREK,2
2025,4,MERCEDES-BENZ,S 580 E MAYBACH,2
2025,4,WESTFALIA,WEST,2
2025,4,MERCEDES-BENZ,E 300 E 4MATIC,2
2025,4,CHAUSSON,724,2
2025,4,DETHLEFFS,GLOBEBUS GO T45,2
2025,4,ADRIA,CORAL 670SL,2
2025,4,TOYOTA,PROACE CITY VERSO,2
2025,4,CAPRON,T58/ T135,2
2025,4,CAPRON,T68C / T457,2
2025,4,VOLKSWAGEN,TOUAREG EHYBRID,2
2025,4,WEINSBERG,R46,2
2025,4,PORSCHE,TAYCAN 4S,2
2025,4,KNAUS,R18,2
2025,4,CAPRON,T68 / T447,2
2025,4,CHAUSSON,650,2
2025,4,CARTHAGO,C-TOURER I 143 LE,2
2025,4,VOLKSWAGEN,UP!,2
2025,4,BMW,IX M60,2
2025,4,HONDA,ZR-V,2
2025,4,DFSK,DFSK E5,2
2025,4,CAPRON,T69LC/T459,2
2025,4,CAPRON,V66/V337,2
2025,4,TESLA,MODEL S,2
2025,4,FORD,TOURNEO CONNECT,2
2025,4,DETHLEFFS,JUST T 6812,2
2025,4,PEUGEOT,TRAVELLER,2
2025,4,CAPRON,V66 / V337,2
2025,4,FERRARI,FERRARI 12CILINDRI,2
2025,4,ADRIA,TWIN 600SPB,2
2025,4,MERCEDES-BENZ,GLS 450 4MATIC,2
2025,4,AUDI,A6 AVANT,2
2025,4,BMW,X2 M35I XDRIVE,2
2025,4,CAPRON,T67S/ T338,2
2025,4,MERCEDES-BENZ,EQA 350 4MATIC,2
2025,4,MITSUBISHI,MITSUBISHI SPACE STAR,2
2025,4,FERRARI,FERRARI PUROSANGUE,2
2025,4,AUDI,Q4 40 E-TRON,2
2025,4,CAPRON,A68 / A361,2
2025,4,PORSCHE,911 TURBO S,2
2025,4,MERCEDES-BENZ,EQA 300 4MATIC,2
2025,4,PILOTE,P690D,2
2025,4,LOTUS,ELETRE,2
2025,4,CAPRON,V60 / V132,2
2025,4,PORSCHE,911 TURBO 50,2
2025,4,CAPRON,T67S/T338,2
2025,4,KNAUS,R07,2
2025,4,TOYOTA,PROACE CITY VERSO ELECTRIC,2
2025,4,CAPRON,T690L/ T449T,2
2025,4,KNAUS,R20,2
2025,4,MC LAREN,ARTURA SPIDER,2
2025,4,ETRUSCO,T 6.9 SF,2
2025,4,CHAUSSON,S697,2
2025,4,DETHLEFFS,JUST GO T7055 EB,2
2025,4,LAMBORGHINI,REVUELTO,2
2025,4,LEXUS,LEXUS ES300H,2
2025,4,TOYOTA,PROACE,2
2025,4,KNAUS,TOURER VAN 500 MQ,2
2025,4,KNAUS,R03,2
2025,4,CAPRON,CVE 602,2
2025,4,MERCEDES-BENZ,E 450 4MATIC,2
2025,4,HOBBY,K65 ET,2
2025,4,DETHLEFFS,TREND I 7057 EB,2
2025,4,VOLKSWAGEN,ID. BUZZ GTX KR 250 KW,2
2025,4,BMW,750E XDRIVE,2
2025,4,BENTLEY,CONTINENTAL GTC MULLINER,2
2025,4,HYMER,B-MC T 680,2
2025,4,MERCEDES-BENZ,E 300DE 4MATIC ALLTERRAIN,2
2025,4,DETHLEFFS,JUST T 7052 EBL/DBL,2
2025,4,CAPRON,T67/ T448,2
2025,4,VOLKSWAGEN,ID.7 TOURER GTX,2
2025,4,ADRIA,CORAL 600SL,2
2025,4,AUDI,SQ7,2
2025,4,DONKERVOORT,F22,2
2025,4,CAPRON,V337,2
2025,4,MERCEDES-BENZ,C 300 DE,2
2025,4,XPENG,P7,2
2025,4,MERCEDES-BENZ,EQS 350,2
2025,4,MAZDA,MAZDA2,2
2025,4,SMART,#5,2
2025,4,MERCEDES-BENZ,AMG GLC 63S E PERFORMANCE,2
2025,4,MERCEDES-BENZ,E 400 E 4MATIC,2
2025,4,MERCEDES-BENZ,GLC 300 DE 4MATIC,2
2025,4,MERCEDES-BENZ,EQE 350 4MATIC,2
2025,4,KNAUS,TOURER CUVISION 500 MQ,2
2025,4,POESSL,KW 18,2
2025,4,BMW,X6 XDRIVE40I M SPORT,2
2025,4,BMW,430I,2
2025,4,ADRIA,CORAL XL 660SL,2
2025,4,CONCORDE,CHARISMA 910 MI,2
